reap benefits   	gather
lack of consistency  	things that are out of keeping with each other
monitoring     		observing 
Rapidly provision 	Provide something fast 
agility 		The power to move quickly an easily ;nimbleness
portability		transferability
trivial			insignificant
parentheses		()
evolved immensely 	something that has changed over time and to a great extent
conjunction		connecting between two things or more 
possess 		to have and hold as [property](item you have)
enforces 		to put or keep in force
violates 		to break or act against something such as a law
tackle			to face or to attack or to deal with something
demonstrate		prove or to make evident or establish by arguments or reasoning ;prove
